s2v120c1200-1.cnf 	O = 161
s2v140c1800-1.cnf 	O = 254
s2v140c1800-2.cnf 	O = 257
s2v140c1800-3.cnf 	O = 255
s2v140c1900-1.cnf 	O = 283
s2v140c1900-2.cnf 	O = 273
s2v140c1900-3.cnf 	O = 278
s2v140c2000-1.cnf 	O = 298
s2v140c2000-2.cnf 	O = 308
s2v140c2000-3.cnf 	O = 296
s2v140c2100-1.cnf 	O = 293
s2v140c2100-2.cnf 	O = 310
s2v140c2100-3.cnf 	O = 319
s2v140c2200-1.cnf 	O = 336
s2v140c2200-2.cnf 	O = 332
s2v140c2200-3.cnf 	O = 329
s2v140c2300-1.cnf 	O = 359
s2v140c2300-2.cnf 	O = 365
s2v140c2300-3.cnf 	O = 352
s2v140c2400-1.cnf 	O = 388
s2v140c2400-2.cnf 	O = 388
s2v140c2400-3.cnf 	O = 381
s2v140c2500-1.cnf 	O = 393
s2v140c2500-2.cnf 	O = 407
s2v140c2500-3.cnf 	O = 398
s2v140c2600-1.cnf 	O = 422
s2v140c2600-2.cnf 	O = 425
s2v140c2600-3.cnf 	O = 406
s2v160c1200-1.cnf 	O = 142
s2v160c1200-2.cnf 	O = 133
s2v160c1200-3.cnf 	O = 143
s2v160c1300-1.cnf 	O = 167
s2v160c1300-2.cnf 	O = 139
s2v160c1300-3.cnf 	O = 157
s2v160c1400-1.cnf 	O = 166
s2v160c1400-2.cnf 	O = 164
s2v160c1400-3.cnf 	O = 167
s2v160c1500-1.cnf 	O = 183
s2v160c1500-2.cnf 	O = 200
s2v160c1500-3.cnf 	O = 184
s2v160c1600-1.cnf 	O = 222
s2v160c1600-2.cnf 	O = 222
s2v160c1600-3.cnf 	O = 213
s2v160c1700-1.cnf 	O = 226
s2v160c1700-2.cnf 	O = 230
s2v160c1700-3.cnf 	O = 249
s2v160c1800-1.cnf 	O = 252
s2v160c1800-2.cnf 	O = 256
s2v160c1800-3.cnf 	O = 255
s2v160c1900-1.cnf 	O = 261
s2v160c1900-2.cnf 	O = 262
s2v160c1900-3.cnf 	O = 264
s2v160c2000-1.cnf 	O = 293
s2v160c2000-2.cnf 	O = 272
s2v160c2000-3.cnf 	O = 282
s2v160c2100-1.cnf 	O = 294
s2v160c2100-2.cnf 	O = 299
s2v160c2100-3.cnf 	O = 305
s2v160c2200-1.cnf 	O = 310
s2v160c2200-2.cnf 	O = 333
s2v160c2200-3.cnf 	O = 326
s2v160c2300-1.cnf 	O = 353
s2v160c2300-2.cnf 	O = 349
s2v160c2300-3.cnf 	O = 343
s2v160c2400-1.cnf 	O = 370
s2v160c2400-2.cnf 	O = 365
s2v160c2400-3.cnf 	O = 380
s2v160c2500-1.cnf 	O = 383
s2v160c2500-2.cnf 	O = 380
s2v160c2500-3.cnf 	O = 382
s2v160c2600-1.cnf 	O = 392
s2v160c2600-2.cnf 	O = 397
s2v160c2600-3.cnf 	O = 413
s2v180c1200-1.cnf 	O = 134
s2v180c1200-2.cnf 	O = 130
s2v180c1200-3.cnf 	O = 131
s2v180c1200-4.cnf 	O = 128
s2v180c1300-1.cnf 	O = 153
s2v180c1300-2.cnf 	O = 138
s2v180c1300-3.cnf 	O = 150
s2v180c1300-4.cnf 	O = 149
s2v180c1400-1.cnf 	O = 165
s2v180c1400-2.cnf 	O = 165
s2v180c1400-3.cnf 	O = 156
s2v180c1400-4.cnf 	O = 160
s2v180c1500-1.cnf 	O = 184
s2v180c1500-2.cnf 	O = 180
s2v180c1500-3.cnf 	O = 179
s2v180c1500-4.cnf 	O = 181
s2v180c1600-1.cnf 	O = 200
s2v180c1600-2.cnf 	O = 204
s2v180c1600-3.cnf 	O = 216
s2v180c1600-4.cnf 	O = 200
s2v180c1700-1.cnf 	O = 225
s2v180c1700-2.cnf 	O = 229
s2v180c1700-3.cnf 	O = 209
s2v180c1700-4.cnf 	O = 206
s2v180c1800-1.cnf 	O = 241
s2v180c1800-2.cnf 	O = 242
s2v180c1800-3.cnf 	O = 232
s2v180c1800-4.cnf 	O = 241
s2v180c1900-1.cnf 	O = 245
s2v180c1900-2.cnf 	O = 246
s2v180c1900-3.cnf 	O = 252
s2v180c1900-4.cnf 	O = 257
s2v180c2000-1.cnf 	O = 282
s2v180c2000-2.cnf 	O = 285
s2v180c2000-3.cnf 	O = 271
s2v180c2000-4.cnf 	O = 280
s2v180c2100-1.cnf 	O = 294
s2v180c2100-2.cnf 	O = 301
s2v180c2100-3.cnf 	O = 293
s2v180c2100-4.cnf 	O = 303
s2v180c2200-1.cnf 	O = 330
s2v180c2200-2.cnf 	O = 318
s2v180c2200-3.cnf 	O = 306
s2v180c2200-4.cnf 	O = 317
s2v200c1200-1.cnf 	O = 118
s2v200c1200-2.cnf 	O = 127
s2v200c1200-3.cnf 	O = 125
s2v200c1200-4.cnf 	O = 115
s2v200c1200-5.cnf 	O = 117
s2v200c1200-6.cnf 	O = 127
s2v200c1200-7.cnf 	O = 112
s2v200c1300-1.cnf 	O = 144
s2v200c1300-2.cnf 	O = 143
s2v200c1300-3.cnf 	O = 121
s2v200c1300-4.cnf 	O = 139
s2v200c1300-5.cnf 	O = 142
s2v200c1300-6.cnf 	O = 134
s2v200c1300-7.cnf 	O = 128
s2v200c1400-1.cnf 	O = 156
s2v200c1400-2.cnf 	O = 147
s2v200c1400-3.cnf 	O = 150
s2v200c1400-4.cnf 	O = 164
s2v200c1400-5.cnf 	O = 153
s2v200c1400-6.cnf 	O = 145
s2v200c1400-7.cnf 	O = 142
s2v200c1500-1.cnf 	O = 165
s2v200c1500-2.cnf 	O = 165
s2v200c1500-3.cnf 	O = 165
s2v200c1500-4.cnf 	O = 178
s2v200c1500-5.cnf 	O = 174
s2v200c1500-6.cnf 	O = 180
s2v200c1500-7.cnf 	O = 179
s2v200c1600-1.cnf 	O = 195
s2v200c1600-2.cnf 	O = 178
s2v200c1600-3.cnf 	O = 186
s2v200c1600-4.cnf 	O = 195
s2v200c1600-5.cnf 	O = 194
s2v200c1600-6.cnf 	O = 179
s2v200c1600-7.cnf 	O = 192
s2v200c1700-1.cnf 	O = 193
s2v200c1700-2.cnf 	O = 207
s2v200c1700-3.cnf 	O = 213
s2v200c1700-4.cnf 	O = 212
s2v200c1700-5.cnf 	O = 217
s2v200c1700-6.cnf 	O = 209
s2v200c1700-7.cnf 	O = 201
s2v200c1800-1.cnf 	O = 206
s2v200c1800-2.cnf 	O = 223
s2v200c1800-3.cnf 	O = 229
s2v200c1800-4.cnf 	O = 221
s2v200c1800-5.cnf 	O = 220
s2v200c1800-6.cnf 	O = 228
s2v200c1800-7.cnf 	O = 226
s3v110c1000-1.cnf 	O = 30
s3v110c1000-10.cnf 	O = 31
s3v110c1000-2.cnf 	O = 27
s3v110c1000-3.cnf 	O = 28
s3v110c1000-4.cnf 	O = 29
s3v110c1000-5.cnf 	O = 30
s3v110c1000-6.cnf 	O = 33
s3v110c1000-7.cnf 	O = 31
s3v110c1000-8.cnf 	O = 26
s3v110c1000-9.cnf 	O = 29
s3v110c1100-1.cnf 	O = 34
s3v110c1100-10.cnf 	O = 36
s3v110c1100-2.cnf 	O = 37
s3v110c1100-3.cnf 	O = 38
s3v110c1100-4.cnf 	O = 39
s3v110c1100-5.cnf 	O = 39
s3v110c1100-6.cnf 	O = 38
s3v110c1100-7.cnf 	O = 38
s3v110c1100-8.cnf 	O = 35
s3v110c1100-9.cnf 	O = 36
s3v110c700-1.cnf 	O = 11
s3v110c700-10.cnf 	O = 9
s3v110c700-2.cnf 	O = 12
s3v110c700-3.cnf 	O = 10
s3v110c700-4.cnf 	O = 11
s3v110c700-5.cnf 	O = 10
s3v110c700-6.cnf 	O = 11
s3v110c700-7.cnf 	O = 9
s3v110c700-8.cnf 	O = 11
s3v110c700-9.cnf 	O = 10
s3v110c800-1.cnf 	O = 17
s3v110c800-10.cnf 	O = 14
s3v110c800-2.cnf 	O = 17
s3v110c800-3.cnf 	O = 15
s3v110c800-4.cnf 	O = 18
s3v110c800-5.cnf 	O = 17
s3v110c800-6.cnf 	O = 18
s3v110c800-7.cnf 	O = 16
s3v110c800-8.cnf 	O = 17
s3v110c800-9.cnf 	O = 16
s3v110c900-1.cnf 	O = 22
s3v110c900-10.cnf 	O = 21
s3v110c900-2.cnf 	O = 22
s3v110c900-3.cnf 	O = 17
s3v110c900-4.cnf 	O = 21
s3v110c900-5.cnf 	O = 22
s3v110c900-6.cnf 	O = 23
s3v110c900-7.cnf 	O = 21
s3v110c900-8.cnf 	O = 22
s3v110c900-9.cnf 	O = 26
s3v70c1000-1.cnf 	O = 47
s3v70c1000-2.cnf 	O = 43
s3v70c1000-3.cnf 	O = 45
s3v70c1000-4.cnf 	O = 47
s3v70c1000-5.cnf 	O = 42
s3v70c1100-1.cnf 	O = 56
s3v70c1100-2.cnf 	O = 55
s3v70c1100-3.cnf 	O = 53
s3v70c1100-4.cnf 	O = 52
s3v70c1100-5.cnf 	O = 53
s3v70c1200-1.cnf 	O = 66
s3v70c1200-2.cnf 	O = 63
s3v70c1200-3.cnf 	O = 65
s3v70c1200-4.cnf 	O = 67
s3v70c1200-5.cnf 	O = 65
s3v70c1300-1.cnf 	O = 75
s3v70c1300-2.cnf 	O = 74
s3v70c1300-3.cnf 	O = 70
s3v70c1300-4.cnf 	O = 68
s3v70c1300-5.cnf 	O = 70
s3v70c1400-1.cnf 	O = 78
s3v70c1400-2.cnf 	O = 83
s3v70c1400-3.cnf 	O = 79
s3v70c1400-4.cnf 	O = 75
s3v70c1400-5.cnf 	O = 82
s3v70c1500-1.cnf 	O = 90
s3v70c1500-2.cnf 	O = 89
s3v70c1500-3.cnf 	O = 86
s3v70c1500-4.cnf 	O = 91
s3v70c1500-5.cnf 	O = 94
s3v70c700-1.cnf 	O = 21
s3v70c700-2.cnf 	O = 21
s3v70c700-3.cnf 	O = 25
s3v70c700-4.cnf 	O = 24
s3v70c700-5.cnf 	O = 22
s3v70c800-1.cnf 	O = 31
s3v70c800-2.cnf 	O = 34
s3v70c800-3.cnf 	O = 30
s3v70c800-4.cnf 	O = 28
s3v70c800-5.cnf 	O = 31
s3v70c900-1.cnf 	O = 39
s3v70c900-2.cnf 	O = 38
s3v70c900-3.cnf 	O = 39
s3v70c900-4.cnf 	O = 39
s3v70c900-5.cnf 	O = 40
s3v90c1000-1.cnf 	O = 34
s3v90c1000-2.cnf 	O = 38
s3v90c1000-3.cnf 	O = 39
s3v90c1000-4.cnf 	O = 34
s3v90c1000-5.cnf 	O = 41
s3v90c1000-6.cnf 	O = 41
s3v90c1000-7.cnf 	O = 38
s3v90c1100-1.cnf 	O = 44
s3v90c1100-2.cnf 	O = 44
s3v90c1100-3.cnf 	O = 47
s3v90c1100-4.cnf 	O = 43
s3v90c1100-5.cnf 	O = 44
s3v90c1100-6.cnf 	O = 47
s3v90c1100-7.cnf 	O = 47
s3v90c1200-1.cnf 	O = 47
s3v90c1200-2.cnf 	O = 54
s3v90c1200-3.cnf 	O = 50
s3v90c1200-4.cnf 	O = 55
s3v90c1200-5.cnf 	O = 59
s3v90c1200-6.cnf 	O = 55
s3v90c1200-7.cnf 	O = 55
s3v90c1300-1.cnf 	O = 60
s3v90c1300-2.cnf 	O = 64
s3v90c1300-3.cnf 	O = 64
s3v90c1300-4.cnf 	O = 63
s3v90c1300-5.cnf 	O = 58
s3v90c1300-6.cnf 	O = 59
s3v90c1300-7.cnf 	O = 63
s3v90c700-1.cnf 	O = 16
s3v90c700-2.cnf 	O = 17
s3v90c700-3.cnf 	O = 15
s3v90c700-4.cnf 	O = 18
s3v90c700-5.cnf 	O = 16
s3v90c700-6.cnf 	O = 18
s3v90c700-7.cnf 	O = 18
s3v90c800-1.cnf 	O = 22
s3v90c800-2.cnf 	O = 23
s3v90c800-3.cnf 	O = 23
s3v90c800-4.cnf 	O = 20
s3v90c800-5.cnf 	O = 24
s3v90c800-6.cnf 	O = 26
s3v90c800-7.cnf 	O = 24
s3v90c900-1.cnf 	O = 28
s3v90c900-2.cnf 	O = 28
s3v90c900-3.cnf 	O = 32
s3v90c900-4.cnf 	O = 28
s3v90c900-5.cnf 	O = 25
s3v90c900-6.cnf 	O = 30
s3v90c900-7.cnf 	O = 27
HG-3SAT-V250-C1000-1.cnf 	O = 5
HG-3SAT-V250-C1000-10.cnf 	O = 6
HG-3SAT-V250-C1000-100.cnf 	O = 6
HG-3SAT-V250-C1000-11.cnf 	O = 6
HG-3SAT-V250-C1000-12.cnf 	O = 6
HG-3SAT-V250-C1000-13.cnf 	O = 5
HG-3SAT-V250-C1000-14.cnf 	O = 5
HG-3SAT-V250-C1000-15.cnf 	O = 5
HG-3SAT-V250-C1000-16.cnf 	O = 5
HG-3SAT-V250-C1000-17.cnf 	O = 6
HG-3SAT-V250-C1000-18.cnf 	O = 6
HG-3SAT-V250-C1000-19.cnf 	O = 5
HG-3SAT-V250-C1000-2.cnf 	O = 5
HG-3SAT-V250-C1000-20.cnf 	O = 7
HG-3SAT-V250-C1000-21.cnf 	O = 4
HG-3SAT-V250-C1000-22.cnf 	O = 5
HG-3SAT-V250-C1000-23.cnf 	O = 6
HG-3SAT-V250-C1000-24.cnf 	O = 5
HG-3SAT-V250-C1000-3.cnf 	O = 5
HG-3SAT-V250-C1000-4.cnf 	O = 6
HG-3SAT-V250-C1000-5.cnf 	O = 6
HG-3SAT-V250-C1000-6.cnf 	O = 6
HG-3SAT-V250-C1000-7.cnf 	O = 6
HG-3SAT-V250-C1000-8.cnf 	O = 5
HG-3SAT-V250-C1000-9.cnf 	O = 6
HG-3SAT-V300-C1200-1.cnf 	O = 6
HG-3SAT-V300-C1200-10.cnf 	O = 7
HG-3SAT-V300-C1200-100.cnf 	O = 6
HG-3SAT-V300-C1200-11.cnf 	O = 6
HG-3SAT-V300-C1200-12.cnf 	O = 7
HG-3SAT-V300-C1200-13.cnf 	O = 6
HG-3SAT-V300-C1200-14.cnf 	O = 6
HG-3SAT-V300-C1200-15.cnf 	O = 7
HG-3SAT-V300-C1200-16.cnf 	O = 6
HG-3SAT-V300-C1200-17.cnf 	O = 7
HG-3SAT-V300-C1200-18.cnf 	O = 7
HG-3SAT-V300-C1200-19.cnf 	O = 6
HG-3SAT-V300-C1200-2.cnf 	O = 5
HG-3SAT-V300-C1200-20.cnf 	O = 6
HG-3SAT-V300-C1200-21.cnf 	O = 5
HG-3SAT-V300-C1200-22.cnf 	O = 6
HG-3SAT-V300-C1200-23.cnf 	O = 7
HG-3SAT-V300-C1200-24.cnf 	O = 7
HG-3SAT-V300-C1200-3.cnf 	O = 6
HG-3SAT-V300-C1200-4.cnf 	O = 7
HG-3SAT-V300-C1200-5.cnf 	O = 6
HG-3SAT-V300-C1200-6.cnf 	O = 6
HG-3SAT-V300-C1200-7.cnf 	O = 5
HG-3SAT-V300-C1200-8.cnf 	O = 7
HG-3SAT-V300-C1200-9.cnf 	O = 7
HG-4SAT-V100-C900-14.cnf 	O = 2
HG-4SAT-V100-C900-19.cnf 	O = 2
HG-4SAT-V100-C900-2.cnf 	O = 2
HG-4SAT-V100-C900-20.cnf 	O = 2
HG-4SAT-V100-C900-23.cnf 	O = 2
HG-4SAT-V100-C900-4.cnf 	O = 2
HG-4SAT-V100-C900-7.cnf 	O = 2
HG-4SAT-V150-C1350-1.cnf 	O = 1
HG-4SAT-V150-C1350-10.cnf 	O = 1
HG-4SAT-V150-C1350-100.cnf 	O = 1
HG-4SAT-V150-C1350-11.cnf 	O = 1
HG-4SAT-V150-C1350-12.cnf 	O = 2
HG-4SAT-V150-C1350-13.cnf 	O = 1
HG-4SAT-V150-C1350-14.cnf 	O = 1
HG-4SAT-V150-C1350-15.cnf 	O = 1
HG-4SAT-V150-C1350-16.cnf 	O = 1
HG-4SAT-V150-C1350-17.cnf 	O = 2
HG-4SAT-V150-C1350-18.cnf 	O = 1
HG-4SAT-V150-C1350-19.cnf 	O = 1
HG-4SAT-V150-C1350-2.cnf 	O = 1
HG-4SAT-V150-C1350-20.cnf 	O = 1
HG-4SAT-V150-C1350-21.cnf 	O = 1
HG-4SAT-V150-C1350-22.cnf 	O = 1
HG-4SAT-V150-C1350-23.cnf 	O = 0
HG-4SAT-V150-C1350-24.cnf 	O = 2
HG-4SAT-V150-C1350-3.cnf 	O = 1
HG-4SAT-V150-C1350-4.cnf 	O = 1
HG-4SAT-V150-C1350-5.cnf 	O = 2
HG-4SAT-V150-C1350-6.cnf 	O = 1
HG-4SAT-V150-C1350-7.cnf 	O = 1
HG-4SAT-V150-C1350-8.cnf 	O = 2
HG-4SAT-V150-C1350-9.cnf 	O = 2
s2v120c1200-1.cnf 	O = 161
s2v120c1200-10.cnf 	O = 154
s2v120c1200-2.cnf 	O = 159
s2v120c1200-3.cnf 	O = 160
s2v120c1200-4.cnf 	O = 157
s2v120c1200-5.cnf 	O = 143
s2v120c1200-6.cnf 	O = 167
s2v120c1200-7.cnf 	O = 162
s2v120c1200-8.cnf 	O = 165
s2v120c1200-9.cnf 	O = 148
s2v120c1300-1.cnf 	O = 180
s2v120c1300-10.cnf 	O = 180
s2v120c1300-2.cnf 	O = 172
s2v120c1300-3.cnf 	O = 173
s2v120c1300-4.cnf 	O = 176
s2v120c1300-5.cnf 	O = 168
s2v120c1300-6.cnf 	O = 180
s2v120c1300-7.cnf 	O = 169
s2v120c1300-8.cnf 	O = 174
s2v120c1300-9.cnf 	O = 186
s2v120c1400-1.cnf 	O = 197
s2v120c1400-10.cnf 	O = 211
s2v120c1400-2.cnf 	O = 191
s2v120c1400-3.cnf 	O = 189
s2v120c1400-4.cnf 	O = 200
s2v120c1400-5.cnf 	O = 199
s2v120c1400-6.cnf 	O = 196
s2v120c1400-7.cnf 	O = 206
s2v120c1400-8.cnf 	O = 194
s2v120c1400-9.cnf 	O = 198
s2v120c1500-1.cnf 	O = 211
s2v120c1500-10.cnf 	O = 213
s2v120c1500-2.cnf 	O = 213
s2v120c1500-3.cnf 	O = 207
s2v120c1500-4.cnf 	O = 212
s2v120c1500-5.cnf 	O = 233
s2v120c1500-6.cnf 	O = 209
s2v120c1500-7.cnf 	O = 216
s2v120c1500-8.cnf 	O = 212
s2v120c1500-9.cnf 	O = 223
s2v120c1600-1.cnf 	O = 233
s2v120c1600-10.cnf 	O = 233
s2v120c1600-2.cnf 	O = 239
s2v120c1600-3.cnf 	O = 233
s2v120c1600-4.cnf 	O = 219
s2v120c1600-5.cnf 	O = 247
s2v120c1600-6.cnf 	O = 235
s2v120c1600-7.cnf 	O = 225
s2v120c1600-8.cnf 	O = 237
s2v120c1600-9.cnf 	O = 240
s2v140c1200-1.cnf 	O = 144
s2v140c1200-10.cnf 	O = 140
s2v140c1200-2.cnf 	O = 155
s2v140c1200-3.cnf 	O = 155
s2v140c1200-4.cnf 	O = 148
s2v140c1200-5.cnf 	O = 143
s2v140c1200-6.cnf 	O = 148
s2v140c1200-7.cnf 	O = 148
s2v140c1200-8.cnf 	O = 152
s2v140c1200-9.cnf 	O = 151
s2v140c1300-1.cnf 	O = 162
s2v140c1300-10.cnf 	O = 170
s2v140c1300-2.cnf 	O = 171
s2v140c1300-3.cnf 	O = 168
s2v140c1300-4.cnf 	O = 164
s2v140c1300-5.cnf 	O = 169
s2v140c1300-6.cnf 	O = 168
s2v140c1300-7.cnf 	O = 160
s2v140c1300-8.cnf 	O = 157
s2v140c1300-9.cnf 	O = 162
s2v140c1400-1.cnf 	O = 182
s2v140c1400-10.cnf 	O = 188
s2v140c1400-2.cnf 	O = 178
s2v140c1400-3.cnf 	O = 193
s2v140c1400-4.cnf 	O = 184
s2v140c1400-5.cnf 	O = 187
s2v140c1400-6.cnf 	O = 188
s2v140c1400-7.cnf 	O = 187
s2v140c1400-8.cnf 	O = 181
s2v140c1400-9.cnf 	O = 185
s2v140c1500-1.cnf 	O = 205
s2v140c1500-10.cnf 	O = 202
s2v140c1500-2.cnf 	O = 199
s2v140c1500-3.cnf 	O = 212
s2v140c1500-4.cnf 	O = 197
s2v140c1500-5.cnf 	O = 205
s2v140c1500-6.cnf 	O = 198
s2v140c1500-7.cnf 	O = 202
s2v140c1500-8.cnf 	O = 199
s2v140c1500-9.cnf 	O = 199
s2v140c1600-1.cnf 	O = 221
s2v140c1600-10.cnf 	O = 226
s2v140c1600-2.cnf 	O = 221
s2v140c1600-3.cnf 	O = 226
s2v140c1600-4.cnf 	O = 220
s2v140c1600-5.cnf 	O = 228
s2v140c1600-6.cnf 	O = 220
s2v140c1600-7.cnf 	O = 218
s2v140c1600-8.cnf 	O = 227
s2v140c1600-9.cnf 	O = 228
s3v70c1000-1.cnf 	O = 47
s3v70c1000-10.cnf 	O = 45
s3v70c1000-2.cnf 	O = 43
s3v70c1000-3.cnf 	O = 45
s3v70c1000-4.cnf 	O = 47
s3v70c1000-5.cnf 	O = 42
s3v70c1000-6.cnf 	O = 50
s3v70c1000-7.cnf 	O = 49
s3v70c1000-8.cnf 	O = 48
s3v70c1000-9.cnf 	O = 49
s3v70c1100-1.cnf 	O = 56
s3v70c1100-10.cnf 	O = 58
s3v70c1100-2.cnf 	O = 55
s3v70c1100-3.cnf 	O = 53
s3v70c1100-4.cnf 	O = 52
s3v70c1100-5.cnf 	O = 53
s3v70c1100-6.cnf 	O = 53
s3v70c1100-7.cnf 	O = 53
s3v70c1100-8.cnf 	O = 51
s3v70c1100-9.cnf 	O = 48
s3v70c1200-1.cnf 	O = 66
s3v70c1200-10.cnf 	O = 63
s3v70c1200-2.cnf 	O = 63
s3v70c1200-3.cnf 	O = 65
s3v70c1200-4.cnf 	O = 67
s3v70c1200-5.cnf 	O = 65
s3v70c1200-6.cnf 	O = 66
s3v70c1200-7.cnf 	O = 62
s3v70c1200-8.cnf 	O = 63
s3v70c1200-9.cnf 	O = 61
s3v70c800-1.cnf 	O = 31
s3v70c800-10.cnf 	O = 30
s3v70c800-2.cnf 	O = 34
s3v70c800-3.cnf 	O = 30
s3v70c800-4.cnf 	O = 28
s3v70c800-5.cnf 	O = 31
s3v70c800-6.cnf 	O = 30
s3v70c800-7.cnf 	O = 31
s3v70c800-8.cnf 	O = 34
s3v70c800-9.cnf 	O = 32
s3v70c900-1.cnf 	O = 39
s3v70c900-10.cnf 	O = 39
s3v70c900-2.cnf 	O = 38
s3v70c900-3.cnf 	O = 39
s3v70c900-4.cnf 	O = 39
s3v70c900-5.cnf 	O = 40
s3v70c900-6.cnf 	O = 41
s3v70c900-7.cnf 	O = 40
s3v70c900-8.cnf 	O = 42
s3v70c900-9.cnf 	O = 35
s3v80c1000-1.cnf 	O = 44
s3v80c1000-10.cnf 	O = 39
s3v80c1000-2.cnf 	O = 43
s3v80c1000-3.cnf 	O = 39
s3v80c1000-4.cnf 	O = 45
s3v80c1000-5.cnf 	O = 41
s3v80c1000-6.cnf 	O = 40
s3v80c1000-7.cnf 	O = 40
s3v80c1000-8.cnf 	O = 41
s3v80c1000-9.cnf 	O = 38
s3v80c600-1.cnf 	O = 14
s3v80c600-10.cnf 	O = 15
s3v80c600-2.cnf 	O = 16
s3v80c600-3.cnf 	O = 11
s3v80c600-4.cnf 	O = 13
s3v80c600-5.cnf 	O = 12
s3v80c600-6.cnf 	O = 14
s3v80c600-7.cnf 	O = 12
s3v80c600-8.cnf 	O = 15
s3v80c600-9.cnf 	O = 12
s3v80c700-1.cnf 	O = 19
s3v80c700-10.cnf 	O = 19
s3v80c700-2.cnf 	O = 20
s3v80c700-3.cnf 	O = 18
s3v80c700-4.cnf 	O = 15
s3v80c700-5.cnf 	O = 21
s3v80c700-6.cnf 	O = 18
s3v80c700-7.cnf 	O = 21
s3v80c700-8.cnf 	O = 19
s3v80c700-9.cnf 	O = 18
s3v80c800-1.cnf 	O = 28
s3v80c800-10.cnf 	O = 27
s3v80c800-2.cnf 	O = 32
s3v80c800-3.cnf 	O = 27
s3v80c800-4.cnf 	O = 26
s3v80c800-5.cnf 	O = 27
s3v80c800-6.cnf 	O = 28
s3v80c800-7.cnf 	O = 27
s3v80c800-8.cnf 	O = 25
s3v80c800-9.cnf 	O = 26
s3v80c900-1.cnf 	O = 35
s3v80c900-10.cnf 	O = 35
s3v80c900-2.cnf 	O = 37
s3v80c900-3.cnf 	O = 34
s3v80c900-4.cnf 	O = 35
s3v80c900-5.cnf 	O = 32
s3v80c900-6.cnf 	O = 31
s3v80c900-7.cnf 	O = 34
s3v80c900-8.cnf 	O = 33
s3v80c900-9.cnf 	O = 36
min1s2v160c640_0.cnf 	O = 359
min1s2v160c640_1.cnf 	O = 356
min1s2v160c640_10.cnf 	O = 351
min1s2v160c640_11.cnf 	O = 350
min1s2v160c640_12.cnf 	O = 361
min1s2v160c640_13.cnf 	O = 365
min1s2v160c640_14.cnf 	O = 354
min1s2v160c640_15.cnf 	O = 357
min1s2v160c640_2.cnf 	O = 345
min1s2v160c640_3.cnf 	O = 349
min1s2v160c640_4.cnf 	O = 355
min1s2v160c640_5.cnf 	O = 348
min1s2v160c640_6.cnf 	O = 348
min1s2v160c640_7.cnf 	O = 355
min1s2v160c640_8.cnf 	O = 363
min1s2v160c640_9.cnf 	O = 353
min1s2v160c800_0.cnf 	O = 452
min1s2v160c800_1.cnf 	O = 463
min1s2v160c800_10.cnf 	O = 457
min1s2v160c800_11.cnf 	O = 462
min1s2v160c800_12.cnf 	O = 462
